Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Деряжний,Єфрем,Тимофійович,Чоловік,1996-11-13,Секретар,місто Тернопіль,"проспект Балтська дорога, буд. 4 кв. 38, Чистякове, 41954",780-29-92,pandriievych@example.com
Лесик,Демʼян,Максимович,Чоловік,2005-07-20,Дипломат,село Свалява,"парк Кінна, буд. 232 кв. 505, Борщів, 40479",629-28-38,ruslanzabashta@example.org
Сацюк,Сергій,Олексійович,Чоловік,1985-08-02,Диригент,селище Жмеринка,"набережна Херсонський, буд. 20, Петрово-Красносілля, 99218",+380 (92) 709-31-19,zatovkaniukamvrosii@example.org
Левченко,Григорій,Сергійович,Чоловік,1983-12-25,Стоматолог,хутір Олевськ,"шосе Миколи Куліша, буд. 8, Сокологірськ, 16461",478-97-76,lemeshkooleksandr@example.net
Скоробогатько,Дан,Максимович,Чоловік,1991-11-04,Піаніст,село Кіцмань,"узвіз Церковна, буд. 8, Залізне, 63243",+380 60 199 63 78,zvovk@example.net
Медведенко,Василь,Сергійович,Чоловік,2003-09-22,Кінолог,село Канів,"узвіз Проектна 2-га, буд. 5 кв. 24, Оріхів, 92692",080 803-56-44,eduardpryimak@example.com
Атаманчук,Борислав,Богданович,Чоловік,2008-02-20,Піаніст,село Теребовля,"набережна Інглезі, буд. 50, Броди, 83925",003 550-86-71,kyrylokhudiak@example.net
Панчук,Герман,Петрович,Чоловік,1951-05-20,Машиніст,село Новояворівськ,"провулок Авангардна, буд. 13 кв. 070, Хрестівка, 85546",015 992 23 76,drobakhaokhrim@example.com
Опанасенко,Богдан,Іванович,Чоловік,1941-10-21,Астронавт,селище Таврійськ,"узвіз Виноградний, буд. 45, Болград, 82462",+380 79 157 18 60,varvarahohol@example.com
Власюк,Панас,Андрійович,Чоловік,1959-01-08,Географ,хутір Бучач,"парк Дмитра Іванова, буд. 009, Скадовськ, 03033",016 100 00 36,snizhananosenko@example.com
Ковалюк,Леон,Миколайович,Чоловік,1969-12-13,Кур'єр,місто Болехів,"узвіз Дніпровська, буд. 210 кв. 28, Приморськ, 98182",+380 69 355 21 47,panteleimontovstukha@example.net
Стус,Владислав,Миколайович,Чоловік,1960-02-09,Скульптор,хутір Костянтинівка,"шосе Хімічний 2-й, буд. 57 кв. 7, Приморськ, 61600",+380 (55) 243-38-86,fdarahan@example.org
Скорик,Віктор,Дмитрович,Чоловік,1963-03-03,Льотчик,селище Тульчин,"шосе Роздольна, буд. 33, Южноукраїнськ, 65287",016 023 81 26,myronkorpaniuk@example.com
Фесенко,Левко,Богданович,Чоловік,1973-07-08,Головний меркшейдер,хутір Тячів,"парк Гіацинтовий, буд. 43 кв. 55, Новоселиця, 51970",167 84 84,heorhii79@example.org
Титаренко,Стефан,Євгенович,Чоловік,1981-11-12,Реабілітолог,село Заліщики,"сквер Баркасний, буд. 2 кв. 575, Гайсин, 23161",+380 (59) 920-10-99,okhrimenkobohodar@example.com
Верховинець,Антон,Дмитрович,Чоловік,2004-06-30,Вчитель,село Люботин,"сквер Рельєфна, буд. 18 кв. 0, Снятин, 89188",007 123-14-80,babychmarko@example.net
Габелко,Охрім,Максимович,Чоловік,1942-06-11,Клавішник,село Луцьк,"вулиця Пісочний, буд. 2, Монастирище, 43967",712 98 13,anzhela63@example.org
Христенко,Валентин,Петрович,Чоловік,1974-05-10,Режисер,хутір Єнакієве,"проспект Ясна, буд. 844, Зоринськ, 96568",101-06-13,danyliukiakiv@example.org
Башполченко,Кирило,Євгенович,Чоловік,2008-10-07,Реабілітолог,місто Березівка,"набережна Пілотна, буд. 375, Деражня, 63579",535-42-37,boryslavartiukh@example.net
Артимович,Олег,Дмитрович,Чоловік,1953-10-19,Ботанік,хутір Копичинці,"шосе Берестейська, буд. 469, Гайворон, 65681",931 25 59,tetiana58@example.net
Верхола,Йосип,Тимофійович,Чоловік,1957-02-16,Математик,місто Долинська,"набережна Заводська 5-та, буд. 70, Дергачі, 22390",+380 87 809-05-09,boryslav66@example.net
Тихий,Мирослав,Максимович,Чоловік,1939-05-30,Промисловець,місто Батурин,"проспект Зернова, буд. 077 кв. 91, Городище, 64466",+380 03 124-10-06,qmykhaliuk@example.com
Андрієвич,Ярема,Іванович,Чоловік,2003-08-10,Краєзнавець,місто Зимогір'я,"набережна Краснослобідська, буд. 1 кв. 27, Інкерман, 40503",338-86-05,olehbazavluchenko@example.org
Аврамчук,Роман,Романович,Чоловік,1946-06-01,Єгер,село Білозерське,"площа Дур'янівський, буд. 130, Багачеве, 09556",+380 (02) 148-70-19,ielyseirak@example.net
Архимович,Герман,Дмитрович,Чоловік,1996-03-11,Скульптор,селище Косів,"набережна Шефська, буд. 996 кв. 0, Мирноград, 62174",+380 27 817 13 42,varfolomii14@example.net
Ковпак,Антон,Миколайович,Чоловік,1972-01-01,Піаніст,місто Вашківці,"проспект Уральський, буд. 180, Вознесенськ, 38874",+380 25 544 89 64,liza18@example.net
Вернидуб,Сергій,Тимофійович,Чоловік,1973-04-17,Кінорежисер,селище Ізмаїл,"площа Макова, буд. 8 кв. 088, Лебедин, 27379",028 103 13 45,trokhym89@example.org
Вітер,Віталій,Юрійович,Чоловік,1948-12-02,Інженер,місто Інкерман,"шосе Наявний 1-й, буд. 0 кв. 04, Горлівка, 49388",872-81-09,fbaranets@example.net
Щербак,Вадим,Іванович,Чоловік,1998-02-05,Мікробіолог,селище Джанкой,"парк Прорізна, буд. 0, Очаків, 18214",+380 (92) 273-98-75,milenaishchenko@example.net
Демʼянчук,Ігнат,Максимович,Чоловік,1988-07-24,Підприємець,село Долинська,"шосе Солонцюватий, буд. 44 кв. 596, Тлумач, 63687",014 031-49-91,zakharlytvynenko@example.org
Дахно,Семен,Олександрович,Чоловік,1954-10-04,Детектив,місто Липовець,"площа Лірний, буд. 438, Стебник, 61324",468 60 40,priskanestaiko@example.org
Конопленко,Петро,Олексійович,Чоловік,1950-04-01,Модельєр,селище Погребище,"вулиця Аграрна, буд. 74, Прип'ять, 80570",+380 (03) 543-51-60,rdashenko@example.com
Вдовиченко,Костянтин,Павлович,Чоловік,1975-09-24,Прокурор,селище Долинська,"вулиця Глиняна, буд. 8, Дергачі, 18712",+380 63 624-08-20,olenabandura@example.net
Заруба,Борислав,Іванович,Чоловік,1967-06-01,Співак,хутір Долина,"шосе Пересипська 6-та, буд. 5 кв. 02, Ромни, 34533",837-97-40,kyrylo05@example.org
Ватаманюк,Владислав,Петрович,Чоловік,1983-10-18,Історик,село Зоринськ,"шосе Калинова, буд. 00 кв. 82, Миронівка, 56626",721-78-65,rzabarnyi@example.org
Даньків,Соломон,Миколайович,Чоловік,1989-01-10,Пілот,село Боярка,"сквер Заводська 5-та, буд. 354, Бібрка, 67260",+380 68 915 19 00,ysatsiuk@example.net
Михайличенко,Юстим,Юрійович,Чоловік,1939-05-25,Стоматолог,хутір Христинівка,"провулок Новий, буд. 9, Ясинувата, 11713",+380 74 325-55-61,szakharenko@example.net
Товстоліс,Юхим,Іванович,Чоловік,1987-03-31,Прокурор,місто Андрушівка,"набережна Польовий 1-й, буд. 475 кв. 420, Комарно, 21940",+380 57 173-27-00,iarosharkadii@example.com
Фурс,Аарон,Юрійович,Чоловік,1967-05-14,Реставратор,село Шумськ,"вулиця Художника Федорова, буд. 11, Нетішин, 74348",062 393-46-18,fshukhevych@example.com
Єременко,Симон,Павлович,Чоловік,1948-08-07,Мовознавець,селище Березівка,"площа Травневий 2-й, буд. 103 кв. 1, Баранівка, 92607",+380 49 288-39-92,baidakerika@example.net
